"","Customer","State","Customer.Lifetime.Value","Coverage","Education","Effective.To.Date","EmploymentStatus","Gender","Income","Location.Code","Marital.Status","Monthly.Premium.Auto","Months.Since.Last.Claim","Months.Since.Policy.Inception","Number.of.Open.Complaints","Number.of.Policies","Policy.Type","Policy","Renew.Offer.Type","Sales.Channel","Total.Claim.Amount","Vehicle.Class","Vehicle.Size","P1","P2"
"1","CI30899","California",4737.411455,"Basic","College","Jan","Unemployed","F",0,"Suburban","Single",68,2,26,0,3,"Personal Auto","Personal L3","Offer1","Branch",326.4,"Two-Door Car","Small","No","No"
"2","AI74959","California",3933.813993,"Basic","High School or Below","Jan","Employed","M",25927,"Suburban","Single",103,6,20,0,1,"Personal Auto","Personal L3","Offer2","Web",674.973614,"SUV","Medsize","Yes","Yes"
"3","FD62224","Oregon",14641.51818,"Extended","College","Jan","Unemployed","F",0,"Suburban","Single",133,24,46,0,2,"Personal Auto","Personal L3","Offer1","Agent",1386.870718,"SUV","Medsize","No","No"
"4","WU15684","Nevada",3588.87609,"Extended","College","Jan","Employed","F",42836,"Urban","Married",89,32,99,0,1,"Corporate Auto","Corporate L3","Offer3","Branch",244.580023,"Four-Door Car","Medsize","No","No"
"5","PR21713","Nevada",5838.89915,"Basic","High School or Below","Jan","Employed","M",81082,"Urban","Married",73,5,85,0,4,"Personal Auto","Personal L3","Offer2","Agent",281.295903,"Four-Door Car","Large","Yes","Yes"
"6","XD54132","California",2567.346739,"Basic","High School or Below","Feb","Employed","F",61900,"Suburban","Single",64,11,64,0,1,"Corporate Auto","Corporate L3","Offer4","Call Center",307.2,"Four-Door Car","Medsize","No","Yes"
"7","AU11344","Oregon",5142.389806,"Extended","Bachelor","Jan","Employed","F",35666,"Rural","Divorced",131,12,76,0,1,"Personal Auto","Personal L2","Offer2","Call Center",312.110029,"SUV","Small","No","Yes"
"8","XI56955","Washington",5504.139033,"Basic","Bachelor","Feb","Unemployed","F",0,"Suburban","Married",73,18,45,0,5,"Personal Auto","Personal L2","Offer1","Call Center",350.4,"Four-Door Car","Medsize","Yes","Yes"
"9","OM82309","California",58166.55351,"Basic","Bachelor","Feb","Employed","M",61321,"Rural","Single",186,0,30,1,2,"Personal Auto","Personal L3","Offer2","Branch",427.63121,"Luxury Car","Small","No","No"
"10","OZ62735","Arizona",15487.44072,"Extended","Bachelor","Feb","Employed","M",69161,"Urban","Married",129,24,50,0,2,"Personal Auto","Personal L3","Offer1","Agent",441.138769,"Sports Car","Medsize","No","Yes"
